,A,B,TAZID,TAZID_1,X_MID,Y_MID
8750,3601,29445,0,,406671.3482,4594133.577500001
8751,3602,29543,0,,408564.68965,4599972.984
8753,3604,29677,0,,410199.87815,4605611.6965
8760,3611,20872,0,,396272.9511,4508369.6
8761,3612,20869,0,,396107.14345,4508504.442
8765,3616,95001,0,,423907.56135,4417024.581499999
8766,3617,71000,0,,405751.7845,4423811.2754999995
8768,3619,95015,0,,448264.13425,4475831.1905000005
8769,3620,95063,0,,452875.15145,4468607.2775
8770,3621,95065,0,,480749.29315000004,4444119.986500001
8774,3625,95054,0,,469439.01410000003,4406907.334000001
8775,3626,95042,0,,456710.25915,4406930.2365
8776,3627,95053,0,,440431.54720000003,4407075.3425
8777,3628,60000,0,,430685.5982,4421297.2905
11566,20869,20922,0,,396304.28965,4508628.4555
11567,20870,3612,0,,396106.63605,4508512.0535
11570,20872,3611,0,,396272.9511,4508369.6
11571,20872,20949,0,,396568.1103,4508508.67
11585,20878,20870,0,,396207.8225,4508578.491
11647,20902,20878,0,,396283.554,4508637.918
11704,20922,20949,0,,396598.09589999996,4508663.8325
11708,20924,20878,0,,396330.52379999997,4508662.1605
11709,20925,20902,0,,396371.93799999997,4508708.1205
11729,20935,20925,0,,396469.918,4508728.3225
11767,20949,20872,0,,396568.1103,4508508.67
11768,20949,20935,0,,396647.59095,4508666.3575
21139,24551,24651,0,,424012.5,4507888.0
21364,24651,24551,0,,424012.5,4507888.0
34548,29445,3601,0,,406671.3482,4594133.577500001
34817,29543,3602,0,,408564.68965,4599972.984
35252,29678,3604,0,,410209.58395,4605612.39
36148,60001,3628,0,,430670.63645,4421310.115
39086,63991,63992,0,,429589.0313,4422252.404999999
54238,71000,3617,0,,405751.7845,4423811.2754999995
56298,95001,3616,0,,423907.56135,4417024.581499999
56322,95008,95063,0,,452838.9986,4468507.3345
56342,95015,3619,0,,448264.13425,4475831.1905000005
56374,95026,95065,0,,480754.28649496235,4443925.911789588
56418,95042,3626,0,,456710.25915,4406930.2365
56449,95053,3627,0,,440431.54720000003,4407075.3425
56451,95054,3625,0,,469439.01410000003,4406907.334000001
56470,95063,3620,0,,452875.15145,4468607.2775
56471,95063,95008,0,,452838.9986,4468507.3345
56475,95065,3621,0,,480749.29315000004,4444119.986500001
56476,95065,95026,0,,480754.28649496235,4443925.911789588
